gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
T16_S__k141_1130027__full-cat_2_12	T16_S__k141_1130027__full-cat_2							3	MKF
T16_S__k141_1130027__full-cat_2_13	T16_S__k141_1130027__full-cat_2							3	MKF
T16_S__k141_138514__full-cat_2_4	T16_S__k141_138514__full-cat_2	K02706	psbD; photosystem II reaction center D2 protein [EC:1.10.3.9]	Energy	Photosynthesis		Photosystem II	3	MKEF
T16_S__k141_198400__full-cat_1_5	T16_S__k141_198400__full-cat_1							2	MKF
T16_S__k141_222560__full-cat_2_2	T16_S__k141_222560__full-cat_2							3	MKF
T16_S__k141_226862__full-cat_1_6	T16_S__k141_226862__full-cat_1							1	MKEF
T16_S__k141_234785__full-cat_1_6	T16_S__k141_234785__full-cat_1							2	MKF
T16_S__k141_234785__full-cat_1_7	T16_S__k141_234785__full-cat_1							2	MKF
T16_S__k141_234785__full-cat_1_11	T16_S__k141_234785__full-cat_1							2	MKF
T16_S__k141_234785__full-cat_1_12	T16_S__k141_234785__full-cat_1							2	MKF
T16_S__k141_238021__full-cat_2_3	T16_S__k141_238021__full-cat_2							3	MKEF
T16_S__k141_26971__full-cat_2_5	T16_S__k141_26971__full-cat_2							3	MKF
T16_S__k141_303932__full-cat_2_3	T16_S__k141_303932__full-cat_2							3	MKF
T16_S__k141_303932__full-cat_2_4	T16_S__k141_303932__full-cat_2							3	MKF
T16_S__k141_314887__full-cat_2_5	T16_S__k141_314887__full-cat_2							3	MKF
T16_S__k141_317545__full-cat_2_6	T16_S__k141_317545__full-cat_2							3	MKF
T16_S__k141_342251__full-cat_2_2	T16_S__k141_342251__full-cat_2							3	MKF
T16_S__k141_402795__full-cat_1_2	T16_S__k141_402795__full-cat_1							2	MKF
T16_S__k141_402795__full-cat_1_3	T16_S__k141_402795__full-cat_1							2	MKF
T16_S__k141_402795__full-cat_1_6	T16_S__k141_402795__full-cat_1							2	MKF
T16_S__k141_408296__full-cat_1_2	T16_S__k141_408296__full-cat_1							2	MKF
T16_S__k141_528455__full-cat_1_2	T16_S__k141_528455__full-cat_1							2	MKF
T16_S__k141_545094__full-cat_1_4	T16_S__k141_545094__full-cat_1							2	MKF
T16_S__k141_545094__full-cat_1_5	T16_S__k141_545094__full-cat_1							2	MKF
T16_S__k141_608090__full-cat_1_4	T16_S__k141_608090__full-cat_1							1	MKF
T16_S__k141_640213__full-cat_2_9	T16_S__k141_640213__full-cat_2							3	MKF
T16_S__k141_675290__full-cat_2_8	T16_S__k141_675290__full-cat_2							3	MKF
T16_S__k141_753725__full-cat_2_5	T16_S__k141_753725__full-cat_2							3	MKF
T16_S__k141_754366__full-cat_2_3	T16_S__k141_754366__full-cat_2							3	MKF
T16_S__k141_754366__full-cat_2_4	T16_S__k141_754366__full-cat_2							3	MKF
T16_S__k141_754366__full-cat_2_7	T16_S__k141_754366__full-cat_2							3	MKF
T16_S__k141_8133__full-cat_2_7	T16_S__k141_8133__full-cat_2							3	MKF
T16_S__k141_953981__full-cat_1_5	T16_S__k141_953981__full-cat_1							2	MKF
T16_S__k141_953981__full-cat_1_7	T16_S__k141_953981__full-cat_1							2	MKF
T16_S__k141_982789__full-cat_1_5	T16_S__k141_982789__full-cat_1							2	MKF
T20_S__k141_1057055__full-cat_2_2	T20_S__k141_1057055__full-cat_2							3	MKF
T20_S__k141_1110754__full-cat_2_15	T20_S__k141_1110754__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T20_S__k141_1135714__full-cat_1_4	T20_S__k141_1135714__full-cat_1							1	MKF
T20_S__k141_1165601__full-cat_2_6	T20_S__k141_1165601__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKEF
T20_S__k141_1165601__full-cat_2_6	T20_S__k141_1165601__full-cat_2	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKEF
T20_S__k141_1165601__full-cat_2_9	T20_S__k141_1165601__full-cat_2							3	MKF
T20_S__k141_1230110__full-cat_2_5	T20_S__k141_1230110__full-cat_2							3	MKF
T20_S__k141_1230110__full-cat_2_6	T20_S__k141_1230110__full-cat_2							3	MKF
T20_S__k141_167207__full-cat_2_5	T20_S__k141_167207__full-cat_2							3	MKF
T20_S__k141_171035__full-cat_2_9	T20_S__k141_171035__full-cat_2							3	MKF
T20_S__k141_215001__full-cat_1_2	T20_S__k141_215001__full-cat_1							2	MKEF
T20_S__k141_215001__full-cat_1_8	T20_S__k141_215001__full-cat_1							2	MKF
T20_S__k141_298883__full-cat_2_9	T20_S__k141_298883__full-cat_2	K01939	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3	MF
T20_S__k141_331164__full-cat_2_9	T20_S__k141_331164__full-cat_2							3	MKF
T20_S__k141_488504__full-cat_1_10	T20_S__k141_488504__full-cat_1	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	2	MKEF
T20_S__k141_488504__full-cat_1_10	T20_S__k141_488504__full-cat_1	K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	2	MKEF
T20_S__k141_494082__full-cat_1_8	T20_S__k141_494082__full-cat_1							2	MKF
T20_S__k141_528429__full-cat_2_2	T20_S__k141_528429__full-cat_2							3	MKF
T20_S__k141_578425__full-cat_2_2	T20_S__k141_578425__full-cat_2							3	MKF
T20_S__k141_664852__full-cat_2_6	T20_S__k141_664852__full-cat_2							3	MKF
T20_S__k141_664852__full-cat_2_9	T20_S__k141_664852__full-cat_2							3	MKF
T20_S__k141_696188__full-cat_2_3	T20_S__k141_696188__full-cat_2							3	MKF
T20_S__k141_696188__full-cat_2_6	T20_S__k141_696188__full-cat_2							3	MKF
T20_S__k141_696188__full-cat_2_10	T20_S__k141_696188__full-cat_2							3	MKF
T20_S__k141_727767__full-cat_1_2	T20_S__k141_727767__full-cat_1							2	MKF
T20_S__k141_727767__full-cat_1_5	T20_S__k141_727767__full-cat_1							1	MKF
T20_S__k141_753368__full-cat_1_7	T20_S__k141_753368__full-cat_1	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	MKEF
T20_S__k141_822394__full-cat_1_5	T20_S__k141_822394__full-cat_1							1	MKF
T20_S__k141_863940__full-cat_2_2	T20_S__k141_863940__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
T20_S__k141_863940__full-cat_2_7	T20_S__k141_863940__full-cat_2							3	MKF
T20_S__k141_863940__full-cat_2_9	T20_S__k141_863940__full-cat_2							3	MKF
T20_S__k141_938933__full-cat_2_6	T20_S__k141_938933__full-cat_2							3	MKF
T20_S__k141_938933__full-cat_2_10	T20_S__k141_938933__full-cat_2							3	MKF
T24_S__k141_1006096__full-cat_2_5	T24_S__k141_1006096__full-cat_2							3	MKF
T24_S__k141_1013907__full-cat_1_4	T24_S__k141_1013907__full-cat_1							1	MKF
T24_S__k141_1037867__full-cat_1_8	T24_S__k141_1037867__full-cat_1							2	MKF
T24_S__k141_1043834__full_1-cat_2_3	T24_S__k141_1043834__full_1-cat_2							3	MKF
T24_S__k141_1043834__full_1-cat_2_7	T24_S__k141_1043834__full_1-cat_2							3	MKF
T24_S__k141_1043834__full_1-cat_2_9	T24_S__k141_1043834__full_1-cat_2							3	MKEF
T24_S__k141_1158652__full-cat_2_10	T24_S__k141_1158652__full-cat_2							3	MKF
T24_S__k141_1159844__full-cat_1_4	T24_S__k141_1159844__full-cat_1							2	MKF
T24_S__k141_1179636__full-cat_2_5	T24_S__k141_1179636__full-cat_2							3	MKF
T24_S__k141_12842__full-cat_2_7	T24_S__k141_12842__full-cat_2							3	MKF
T24_S__k141_19863__full-cat_2_6	T24_S__k141_19863__full-cat_2							3	MKF
T24_S__k141_19863__full-cat_2_8	T24_S__k141_19863__full-cat_2							3	MKF
T24_S__k141_19863__full-cat_2_9	T24_S__k141_19863__full-cat_2							3	MKF
T24_S__k141_221269__full-cat_2_6	T24_S__k141_221269__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T24_S__k141_221269__full-cat_2_6	T24_S__k141_221269__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T24_S__k141_221269__full-cat_2_6	T24_S__k141_221269__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T24_S__k141_221269__full-cat_2_8	T24_S__k141_221269__full-cat_2							3	MKF
T24_S__k141_259494__full-cat_2_10	T24_S__k141_259494__full-cat_2							3	MKF
T24_S__k141_267494__full-cat_1_2	T24_S__k141_267494__full-cat_1							2	MKF
T24_S__k141_267494__full-cat_1_5	T24_S__k141_267494__full-cat_1							1	MKF
T24_S__k141_29858__full-cat_2_2	T24_S__k141_29858__full-cat_2							3	MKF
T24_S__k141_32775__full-cat_1_2	T24_S__k141_32775__full-cat_1							2	MKF
T24_S__k141_465021__full-cat_2_6	T24_S__k141_465021__full-cat_2							3	MKF
T24_S__k141_496231__full-cat_2_15	T24_S__k141_496231__full-cat_2	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MF
T24_S__k141_533754__full-cat_1_13	T24_S__k141_533754__full-cat_1							2	MKF
T24_S__k141_595635__full-cat_2_5	T24_S__k141_595635__full-cat_2							3	MKF
T24_S__k141_675495__full-cat_2_2	T24_S__k141_675495__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway (Pentose phosphate cycle)	3	MKF
T24_S__k141_675495__full-cat_2_2	T24_S__k141_675495__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	carbon utilization	central carbon	pentose pathway	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3	MKF
T24_S__k141_675495__full-cat_2_2	T24_S__k141_675495__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle (Calvin cycle)	3	MKF
T24_S__k141_675495__full-cat_2_2	T24_S__k141_675495__full-cat_2	K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Energy	C1		Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	3	MKF
T24_S__k141_712787__full-cat_1_8	T24_S__k141_712787__full-cat_1							2	MKF
T24_S__k141_7176__full-cat_1_7	T24_S__k141_7176__full-cat_1							2	MKF
T24_S__k141_7176__full-cat_1_9	T24_S__k141_7176__full-cat_1							2	MKF
T24_S__k141_727371__full-cat_2_5	T24_S__k141_727371__full-cat_2							3	MKEF
T24_S__k141_727371__full-cat_2_7	T24_S__k141_727371__full-cat_2							3	MKF
T24_S__k141_737611__full-cat_2_2	T24_S__k141_737611__full-cat_2							3	MKF
T24_S__k141_79757__full-cat_2_2	T24_S__k141_79757__full-cat_2							3	MKF
T24_S__k141_79757__full-cat_2_3	T24_S__k141_79757__full-cat_2							3	MKF
T24_S__k141_79757__full-cat_2_9	T24_S__k141_79757__full-cat_2	K00971	GMPP; Man-1P -> GDP-Man [EC:2.7.7.13]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T24_S__k141_79757__full-cat_2_10	T24_S__k141_79757__full-cat_2	K00971	GMPP; Man-1P -> GDP-Man [EC:2.7.7.13]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T24_S__k141_802193__full-cat_2_3	T24_S__k141_802193__full-cat_2							3	MKF
T24_S__k141_904377__full-cat_1_3	T24_S__k141_904377__full-cat_1							2	MKF
T24_S__k141_966076__full-cat_2_4	T24_S__k141_966076__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T24_S__k141_966076__full-cat_2_5	T24_S__k141_966076__full-cat_2	K00526	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T24_S__k141_976152__full-cat_2_4	T24_S__k141_976152__full-cat_2							3	MKF
T24_S__k141_986318__full-cat_2_3	T24_S__k141_986318__full-cat_2	K00012	UGDH; UDP-Glc -> UDP-GlcA [EC:1.1.1.22]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T24_S__k141_986318__full-cat_2_3	T24_S__k141_986318__full-cat_2	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]	MISC	MISC		Glucuronate pathway (uronate pathway)	3	MKF
T24_S__k141_986318__full-cat_2_5	T24_S__k141_986318__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T24_S__k141_986318__full-cat_2_5	T24_S__k141_986318__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T24_S__k141_986318__full-cat_2_5	T24_S__k141_986318__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T24_S__k141_986318__full-cat_2_7	T24_S__k141_986318__full-cat_2							3	MKF
T24_S__k141_986318__full-cat_2_8	T24_S__k141_986318__full-cat_2							3	MKF
T24_S__k141_992966__full-cat_1_4	T24_S__k141_992966__full-cat_1							1	MKF
T28_S__k141_1006572__full-cat_2_5	T28_S__k141_1006572__full-cat_2							3	MKF
T28_S__k141_1019485__full-cat_2_2	T28_S__k141_1019485__full-cat_2							3	MKF
T28_S__k141_1048606__full-cat_1_5	T28_S__k141_1048606__full-cat_1							2	MKF
T28_S__k141_1089495__full-cat_2_3	T28_S__k141_1089495__full-cat_2							3	MKF
T28_S__k141_1133227__full-cat_2_4	T28_S__k141_1133227__full-cat_2							3	MKF
T28_S__k141_1133227__full-cat_2_11	T28_S__k141_1133227__full-cat_2							3	MKF
T28_S__k141_116107__full-cat_1_2	T28_S__k141_116107__full-cat_1							2	MKF
T28_S__k141_116107__full-cat_1_4	T28_S__k141_116107__full-cat_1							1	MKF
T28_S__k141_1171636__full-cat_1_8	T28_S__k141_1171636__full-cat_1							1	MKF
T28_S__k141_1197272__full-cat_2_7	T28_S__k141_1197272__full-cat_2							3	MKF
T28_S__k141_1220075__full-cat_2_4	T28_S__k141_1220075__full-cat_2							3	MKF
T28_S__k141_1220075__full-cat_2_6	T28_S__k141_1220075__full-cat_2	K02970	small subunit ribosomal protein S21	MISC	Information systems		Ribosome, bacteria	3	MF
T28_S__k141_1228795__full-cat_2_6	T28_S__k141_1228795__full-cat_2							3	MKF
T28_S__k141_1228795__full-cat_2_8	T28_S__k141_1228795__full-cat_2							3	MKF
T28_S__k141_1228795__full-cat_2_10	T28_S__k141_1228795__full-cat_2							3	MKF
T28_S__k141_12397__full-cat_2_6	T28_S__k141_12397__full-cat_2							3	MKF
T28_S__k141_1268740__full-cat_2_9	T28_S__k141_1268740__full-cat_2							3	MKF
T28_S__k141_1274225__full-cat_2_7	T28_S__k141_1274225__full-cat_2							3	MKF
T28_S__k141_1279945__full-cat_2_7	T28_S__k141_1279945__full-cat_2							3	MKF
T28_S__k141_148708__full-cat_1_2	T28_S__k141_148708__full-cat_1							2	MKF
T28_S__k141_18507__full-cat_1_7	T28_S__k141_18507__full-cat_1							2	MKF
T28_S__k141_202451__full-cat_2_7	T28_S__k141_202451__full-cat_2							3	MKF
T28_S__k141_203909__full-cat_1_6	T28_S__k141_203909__full-cat_1							1	MKF
T28_S__k141_261103__full-cat_1_7	T28_S__k141_261103__full-cat_1							2	MKF
T28_S__k141_311148__full-cat_2_3	T28_S__k141_311148__full-cat_2							3	MKF
T28_S__k141_311148__full-cat_2_5	T28_S__k141_311148__full-cat_2	M17	Catlytic type: Metallo; any N-terminal amino acid can be released from dipeptides and polypeptides, although there is a preference for leucine; bonds with proline in P1 are not cleaved; maximally active between pH 9 and 9.5	Organic Nitrogen	Peptidase		Aminopeptidases	3	MF
T28_S__k141_311148__full-cat_2_10	T28_S__k141_311148__full-cat_2							3	MKF
T28_S__k141_31392__full-cat_1_4	T28_S__k141_31392__full-cat_1							2	MKF
T28_S__k141_356164__full-cat_2_5	T28_S__k141_356164__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
T28_S__k141_356164__full-cat_2_6	T28_S__k141_356164__full-cat_2	K01784	GALE; UDP-Glc -> UDP-Gal [EC:5.1.3.2]	MISC	Information systems	Nucleotide	Nucleotide sugar biosynthesis, eukaryotes	3	MKF
T28_S__k141_356164__full-cat_2_6	T28_S__k141_356164__full-cat_2	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] [RN:R00291]	carbon utilization	central carbon	glycolysis	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	3	MKF
T28_S__k141_356164__full-cat_2_6	T28_S__k141_356164__full-cat_2	K01784	UDP-glucose 4-epimerase	carbon utilization (Woodcroft)	sugar utilization (woodcroft)	galactose degradation	Galactose metabolism	3	MKF
T28_S__k141_37617__full-cat_2_3	T28_S__k141_37617__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
T28_S__k141_412815__full-cat_2_7	T28_S__k141_412815__full-cat_2							3	MKF
T28_S__k141_457608__full-cat_1_7	T28_S__k141_457608__full-cat_1							2	MKF
T28_S__k141_512900__full-cat_1_5	T28_S__k141_512900__full-cat_1							1	MKF
T28_S__k141_516180__full-cat_2_9	T28_S__k141_516180__full-cat_2							3	MKF
T28_S__k141_564637__full-cat_2_4	T28_S__k141_564637__full-cat_2							3	MKF
T28_S__k141_564637__full-cat_2_10	T28_S__k141_564637__full-cat_2							3	MKF
T28_S__k141_582598__full-cat_1_5	T28_S__k141_582598__full-cat_1							2	MKF
T28_S__k141_615871__full_1-cat_1_7	T28_S__k141_615871__full_1-cat_1							2	MKF
T28_S__k141_616960__full-cat_1_3	T28_S__k141_616960__full-cat_1							2	MKF
T28_S__k141_619737__full-cat_2_5	T28_S__k141_619737__full-cat_2							3	MKF
T28_S__k141_619737__full-cat_2_6	T28_S__k141_619737__full-cat_2							3	MKF
T28_S__k141_619737__full-cat_2_8	T28_S__k141_619737__full-cat_2							3	MKF
T28_S__k141_666840__full-cat_2_8	T28_S__k141_666840__full-cat_2							3	MKF
T28_S__k141_694729__full-cat_2_2	T28_S__k141_694729__full-cat_2							3	MKF
T28_S__k141_705695__full-cat_1_6	T28_S__k141_705695__full-cat_1							1	MKF
T28_S__k141_705695__full-cat_1_8	T28_S__k141_705695__full-cat_1							1	MKF
T28_S__k141_752845__full-cat_2_4	T28_S__k141_752845__full-cat_2	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	MF
T28_S__k141_777896__full-cat_1_2	T28_S__k141_777896__full-cat_1							1	MKF
T28_S__k141_811338__full-cat_2_5	T28_S__k141_811338__full-cat_2							3	MKF
T28_S__k141_812529__full-cat_2_9	T28_S__k141_812529__full-cat_2							3	MKF
T28_S__k141_864835__full-cat_1_2	T28_S__k141_864835__full-cat_1							1	MKF
T28_S__k141_871552__full-cat_2_2	T28_S__k141_871552__full-cat_2							3	MKF
T28_S__k141_996215__full-cat_2_8	T28_S__k141_996215__full-cat_2							3	MKF
T32_S__k141_100556__full-cat_2_4	T32_S__k141_100556__full-cat_2							3	MKF
T32_S__k141_1020251__full-cat_2_2	T32_S__k141_1020251__full-cat_2							3	MKF
T32_S__k141_1020251__full-cat_2_7	T32_S__k141_1020251__full-cat_2							3	MKF
T32_S__k141_1035552__full-cat_2_3	T32_S__k141_1035552__full-cat_2							3	MKF
T32_S__k141_1048299__full-cat_1_6	T32_S__k141_1048299__full-cat_1							2	MKF
T32_S__k141_1060771__full-cat_1_7	T32_S__k141_1060771__full-cat_1	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	2	MF
T32_S__k141_1089723__full-cat_2_5	T32_S__k141_1089723__full-cat_2							3	MKF
T32_S__k141_1094236__full-cat_2_4	T32_S__k141_1094236__full-cat_2							3	MKF
T32_S__k141_1094236__full-cat_2_5	T32_S__k141_1094236__full-cat_2							3	MKF
T32_S__k141_1109358__full-cat_2_2	T32_S__k141_1109358__full-cat_2							3	MKF
T32_S__k141_1180990__full-cat_1_6	T32_S__k141_1180990__full-cat_1							2	MKF
T32_S__k141_1183523__full-cat_1_3	T32_S__k141_1183523__full-cat_1							1	MKF
T32_S__k141_1183523__full-cat_1_4	T32_S__k141_1183523__full-cat_1							1	MKF
T32_S__k141_1202653__full-cat_2_5	T32_S__k141_1202653__full-cat_2							3	MKF
T32_S__k141_1248133__full-cat_2_4	T32_S__k141_1248133__full-cat_2							3	MKF
T32_S__k141_1248133__full-cat_2_5	T32_S__k141_1248133__full-cat_2							3	MKF
T32_S__k141_1248133__full-cat_2_10	T32_S__k141_1248133__full-cat_2							3	MKF
T32_S__k141_1277260__full-cat_2_14	T32_S__k141_1277260__full-cat_2							3	MKF
T32_S__k141_1281795__full-cat_1_5	T32_S__k141_1281795__full-cat_1							2	MKF
T32_S__k141_1281795__full-cat_1_7	T32_S__k141_1281795__full-cat_1							2	MKF
T32_S__k141_1281795__full-cat_1_10	T32_S__k141_1281795__full-cat_1							2	MKF
T32_S__k141_1281795__full-cat_1_12	T32_S__k141_1281795__full-cat_1							2	MKF
T32_S__k141_1284995__full-cat_2_8	T32_S__k141_1284995__full-cat_2							3	MKF
T32_S__k141_1339657__full-cat_1_6	T32_S__k141_1339657__full-cat_1							2	MKF
T32_S__k141_158244__full-cat_1_5	T32_S__k141_158244__full-cat_1							2	MKF
T32_S__k141_158244__full-cat_1_6	T32_S__k141_158244__full-cat_1							2	MKF
T32_S__k141_17094__full-cat_2_17	T32_S__k141_17094__full-cat_2							3	MKF
T32_S__k141_263284__full-cat_2_10	T32_S__k141_263284__full-cat_2							3	MKF
T32_S__k141_263284__full-cat_2_11	T32_S__k141_263284__full-cat_2	GT2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289)	carbon utilization	CAZY		GlycosylTransferases	3	MF
T32_S__k141_271367__full-cat_1_2	T32_S__k141_271367__full-cat_1							1	MKF
T32_S__k141_284939__full-cat_1_6	T32_S__k141_284939__full-cat_1							2	MKF
T32_S__k141_34314__full-cat_1_3	T32_S__k141_34314__full-cat_1							2	MKF
T32_S__k141_34314__full-cat_1_5	T32_S__k141_34314__full-cat_1							1	MKF
T32_S__k141_435943__full-cat_1_3	T32_S__k141_435943__full-cat_1							2	MKF
T32_S__k141_4820__full-cat_2_3	T32_S__k141_4820__full-cat_2							3	MKF
T32_S__k141_540393__full-cat_1_3	T32_S__k141_540393__full-cat_1							1	MKF
T32_S__k141_543965__full-cat_1_2	T32_S__k141_543965__full-cat_1							2	MKF
T32_S__k141_672767__full-cat_2_3	T32_S__k141_672767__full-cat_2							3	MKF
T32_S__k141_680842__full-cat_2_3	T32_S__k141_680842__full-cat_2							3	MKF
T32_S__k141_720631__full-cat_1_3	T32_S__k141_720631__full-cat_1							1	MKF
T32_S__k141_747515__full-cat_2_2	T32_S__k141_747515__full-cat_2							3	MKF
T32_S__k141_747515__full-cat_2_3	T32_S__k141_747515__full-cat_2							3	MKF
T32_S__k141_747515__full-cat_2_5	T32_S__k141_747515__full-cat_2							3	MKF
T32_S__k141_785618__full-cat_2_3	T32_S__k141_785618__full-cat_2							3	MKF
T32_S__k141_785618__full-cat_2_4	T32_S__k141_785618__full-cat_2							3	MKF
T32_S__k141_795972__full-cat_2_3	T32_S__k141_795972__full-cat_2							3	MKF
T32_S__k141_795972__full-cat_2_6	T32_S__k141_795972__full-cat_2							3	MKF
T32_S__k141_847664__full-cat_1_4	T32_S__k141_847664__full-cat_1							1	MKF
T32_S__k141_852322__full-cat_1_3	T32_S__k141_852322__full-cat_1							2	MKEF
T32_S__k141_854276__full-cat_1_3	T32_S__k141_854276__full-cat_1							2	MKF
T32_S__k141_939893__full-cat_2_7	T32_S__k141_939893__full-cat_2							3	MKF
T32_S__k141_969995__full-cat_2_5	T32_S__k141_969995__full-cat_2							3	MKF
T36_S__k141_1051522__full-cat_2_3	T36_S__k141_1051522__full-cat_2	K00525	ribonucleoside-diphosphate reductase [EC:1.17.4.1] [RN:R02024]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	3	MKEF
T36_S__k141_1053787__full-cat_2_4	T36_S__k141_1053787__full-cat_2	K01243	S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase [EC:3.2.2.9] [RN:R00194]	Organic Nitrogen	Amino Acid		Cysteine biosynthesis, methionine => cysteine	3	MKF
